Computer Name,IP Address,Operating System,Provider Type,Count
SIACUPCUT101.sabc.cm,"fe80::86dd:675e:2ab:dc12
10.102.33.9",Windows Server 2019 Standard,Tanium Client,1
CMRUCT23219.sabc.cm,"fe80::4140:8114:3c5b:11f9
2c0f:2a80:904:2a08::915
2c0f:2a80:904:2a08:7da2:c2fb:47de:6840
2c0f:2a80:904:2a00:7526:c6b2:4223:494d
192.168.1.136
fdab:c203:7cb9:8::915
fdab:c203:7cb9:8:7b4c:83ed:a9d:cbf3
fdab:c203:7cb9:0:58ea:61de:5d80:3cde",Windows 10 Entreprise,Tanium Client,1
EFISERVEUR2.sabc.cm,"fe80::39d6:80c6:f979:b262
fe80::99ba:30a6:82d3:9513
10.98.7.178
10.220.175.115",Windows Server 2019 Standard,Tanium Client,1
CMRLPT24150.sabc.cm,"fe80::af74:2815:1775:8d2b
10.102.8.200",Windows 10 Entreprise,Tanium Client,1
CMRUCT20096.sabc.cm,"fe80::cbb4:c458:2184:a230
10.98.2.2",Windows 11 Entreprise,Tanium Client,1
CMRLPT21005.sabc.cm,"fe80::bc9:ee7e:a914:5213
10.96.113.37",Windows 10 Entreprise,Tanium Client,1
CMRUCT23169.sabc.cm,"fe80::4fa9:b9c7:1e3b:fbf4
10.102.34.81",Windows 10 Entreprise,Tanium Client,1
CMRLPT22057.sabc.cm,"fe80::35db:f989:4d64:9303
10.100.0.130",Windows 10 Entreprise,Tanium Client,1
CMRLPT19194.sabc.cm,"fe80::94df:a559:dfa4:4c9e
10.100.0.185",Windows 10 Entreprise,Tanium Client,1
CMRUCT21034.sabc.cm,"fe80::6b63:bc3:d03e:a924
10.99.2.1",Windows 10 Entreprise,Tanium Client,1
CMRLPT24172.sabc.cm,"fe80::f4e9:ba36:f08a:adfa
10.102.8.56",Windows 10 Entreprise,Tanium Client,1
CMRUCT24132.sabc.cm,"fe80::1a75:83d7:b4e0:d922
10.96.161.43",Windows 10 Entreprise,Tanium Client,1
CMRUCT25035.sabc.cm,"fe80::b65f:85bc:f42:cc3f
10.96.0.24",Windows 11 Entreprise,Tanium Client,1
CMRUCT24065.sabc.cm,"fe80::e277:d77e:b46c:5205
10.97.224.38",Windows 11 Entreprise,Tanium Client,1
CMRLPT23154.sabc.cm,"fe80::494b:8a41:ae8d:6caf
10.98.0.37
10.129.252.72
fe80::b286:c139:4a85:bcd6",Windows 10 Entreprise,Tanium Client,1
CMRUCT22044.sabc.cm,"fe80::1803:49d4:65a1:6c9c
10.100.4.14",Windows 11 Entreprise,Tanium Client,1
CMRLPT23013.sabc.cm,"fe80::d2b7:f033:7368:8c94
10.100.0.225",Windows 10 Entreprise,Tanium Client,1
CMRLPT24047.sabc.cm,"fe80::7074:cbb4:e182:a900
10.100.0.63",Windows 10 Entreprise,Tanium Client,1
CMRLPT21091.sabc.cm,"fe80::fb4b:ec78:e3:7bf5
10.102.33.223
fe80::70c4:8212:9e54:4936
10.102.34.25",Windows 10 Entreprise,Tanium Client,1
CMRLPT20021.sabc.cm,"fe80::d942:58b6:b0f5:c06c
10.96.113.34",Windows 10 Entreprise,Tanium Client,1
CMRUCT23089.sabc.cm,"fe80::a39a:9d26:fecc:ac7c
10.96.112.18",Windows 10 Entreprise,Tanium Client,1
SABCDIMO101.sabc.cm,"::1
10.103.244.18",Windows Server 2019 Standard,Tanium Client,1
CMRLPT24135.sabc.cm,"fe80::afd1:9e52:f37:56eb
10.27.56.3",Windows 10 Entreprise,Tanium Client,1
CMRLPT23194.sabc.cm,"fe80::f9b6:274:d693:b0b7
10.102.8.118",Windows 10 Entreprise,Tanium Client,1
CMRLPT24103.sabc.cm,"fe80::daea:90a3:b408:1508
10.100.0.81",Windows 10 Entreprise,Tanium Client,1
CMRLPT25037.sabc.cm,"fe80::95d7:1e87:7546:5e07
10.240.61.225",Windows 10 Entreprise,Tanium Client,1
CMRUCT23245.sabc.cm,"fe80::c15b:7be0:407d:73c
10.98.2.98",Windows 10 Entreprise,Tanium Client,1
CMRLPT24124.sabc.cm,"fe80::8a1d:3834:637e:1262
10.100.0.213",Windows 10 Entreprise,Tanium Client,1
CMRLPT22042.sabc.cm,"fe80::cac7:5308:d4fe:4fc
10.96.0.27",Windows 11 Entreprise,Tanium Client,1
CMRUCT22116.sabc.cm,"fe80::1240:fa1b:1d33:18de
10.97.224.68",Windows 10 Entreprise,Tanium Client,1
CMRUCT25032.sabc.cm,"fe80::b22:6317:8c4c:2825
10.96.2.83",Windows 11 Entreprise,Tanium Client,1
CMRUCT23270.sabc.cm,"fe80::3dd5:d055:bf02:bd42
10.96.161.89",Windows 10 Entreprise,Tanium Client,1
SABCGLPI101.sabc.cm,"fe80::3db8:f002:b03b:11fb
10.100.1.222",Windows Server 2019 Standard,Tanium Client,1
CMRUCT21076.sabc.cm,"fe80::2704:5e2e:a74c:475a
10.102.34.63",Windows 10 Entreprise,Tanium Client,1
CMRLPT24206.sabc.cm,"fe80::2ae0:7dd5:bf78:346f
192.168.43.240",Windows 10 Entreprise,Tanium Client,1
CMRUCT23117.sabc.cm,"fe80::7b89:dd21:6ebf:cd5d
10.98.2.134",Windows 10 Entreprise,Tanium Client,1
CMRUCT23204.sabc.cm,"fe80::13d:cfce:d837:49ba
10.97.224.103",Windows 10 Entreprise,Tanium Client,1
CMRUCT24113.sabc.cm,"fe80::285a:b70a:2f10:6c65
10.102.9.227",Windows 10 Entreprise,Tanium Client,1
SABCWEB101.sabc.cm,"::1
10.103.244.48",Windows Server 2019 Standard,Tanium Client,1
SABCDHCP101.sabc.cm,"fe80::25c5:b191:8105:e3ea
10.100.1.118",Windows Server 2019 Standard,Tanium Client,1
CMRUCT20155.sabc.cm,"fe80::925b:9183:3a2:6bc7
10.102.9.28",Windows 10 Entreprise,Tanium Client,1
CMRLPT19279.sabc.cm,"fe80::94ea:2d37:48c3:14
10.102.8.40",Windows 10 Entreprise,Tanium Client,1
CMRLPT24068.sabc.cm,"fe80::ebc4:ed17:15d0:8233
10.102.113.16",Windows 10 Entreprise,Tanium Client,1
CMRUCT21108.sabc.cm,"fe80::4e9b:6c63:d9f4:7e40
10.100.4.66",Windows 11 Entreprise,Tanium Client,1
CMRUCT19227.sabc.cm,"fe80::bba3:f499:1350:8600
10.102.34.38",Windows 10 Entreprise,Tanium Client,1
CMRUCT23016.sabc.cm,"fe80::7207:9dcd:8cf2:4b7e
10.97.52.3",Windows 10 Entreprise,Tanium Client,1
DTIPROJECT001.sabc.cm,"fe80::40c0:7d1c:5099:22a8
10.96.7.181",Windows Server 2019 Standard,Tanium Client,1
CMRUCT22032.sabc.cm,"fe80::fbaa:66f7:e519:4d31
10.97.224.37",Windows 10 Entreprise,Tanium Client,1
SABCBPC103.sabc.cm,"fe80::4d55:2914:579:d1ce
10.100.1.211",Windows Server 2016 Standard,Tanium Client,1
CMRLPT22026.sabc.cm,"fe80::52eb:2436:eba0:2f9f
10.100.0.228",Windows 10 Entreprise,Tanium Client,1
BAFOSHARG101.sabc.cm,"fe80::7455:5047:d63c:dacc
10.98.1.17",Windows Server 2019 Standard,Tanium Client,1
CMRLPT22146.sabc.cm,"fe80::7a54:1a98:e6d7:ec6b
10.100.0.75",Windows 10 Entreprise,Tanium Client,1
SOUAPCUT001.sabc.cm,"fe80::29e3:2a4c:7f6d:bfe7
10.99.77.134",Windows Server 2019 Standard,Tanium Client,1
CMRUCT23224.sabc.cm,"fe80::a2d7:c3e8:9bc3:f4c2
10.96.2.94",Windows 10 Entreprise,Tanium Client,1
CMRLPT23076.sabc.cm,"fe80::25cd:53e:241e:d5a
10.96.113.17",Windows 10 Entreprise,Tanium Client,1
CMRUCT22045.sabc.cm,"fe80::2ca7:acf8:559b:9206
10.100.6.142",Windows 10 Entreprise,Tanium Client,1
CMRUCT20079.sabc.cm,"fe80::872c:7dba:bdee:58a4
10.98.2.35",Windows 10 Entreprise,Tanium Client,1
CMRUCT24107.sabc.cm,"fe80::917e:59e:fbe8:e7a
10.102.9.112",Windows 10 Entreprise,Tanium Client,1
CMRUCT23082.sabc.cm,"fe80::1dea:7f07:909e:e2f2
10.96.70.96",Windows 10 Entreprise,Tanium Client,1
SABCUPCUT102.sabc.cm,"fe80::61bc:a54f:52b:7a40
10.100.1.192",Windows Server 2019 Standard,Tanium Client,1
CMRLPT23040.sabc.cm,"fe80::ea24:5f70:1f73:dbea
192.168.1.119",Windows 10 Entreprise,Tanium Client,1
SABCMOS201.sabc.cm,"::1
10.103.245.10",Windows Server 2019 Standard,Tanium Client,1
CMRLPT21083.sabc.cm,"fe80::77a1:fed2:b9a3:a06e
10.100.4.89",Windows 10 Entreprise,Tanium Client,1
CMRLPT23056.sabc.cm,"fe80::c7b9:57f3:da78:34c1
fe80::7e08:50c1:ad12:dbdc
10.96.70.14
10.96.75.30",Windows 10 Entreprise,Tanium Client,1
cmruct22095.sabc.cm,"fe80::debb:306e:ad20:3748
10.96.2.86",Windows 10 Entreprise,Tanium Client,1
CMRUCT23023.sabc.cm,"fe80::6c16:d974:9fcd:afdf
10.97.60.6",Windows 10 Entreprise,Tanium Client,1
CMRUCT22005.sabc.cm,"fe80::3859:3471:574f:a406
10.99.2.60",Windows 10 Professionnel,Tanium Client,1
CMRUCT24169.sabc.cm,"fe80::63ce:3c50:6c9:fa6c
10.97.224.201",Windows 10 Entreprise,Tanium Client,1
CMRUCT23076.sabc.cm,"fe80::17f4:af66:c69a:6617
10.96.36.4",Windows 10 Entreprise,Tanium Client,1
SABCSQSHAR101.sabc.cm,"::1
10.6.42.210
10.103.244.44",Windows Server 2019 Standard,Tanium Client,1
CMRLPT23019.sabc.cm,"fe80::e43b:3c8:5ecf:1cba
10.102.33.237",Windows 10 Entreprise,Tanium Client,1
CMRUCT23037.sabc.cm,"fe80::5774:e0e9:aa91:de28
10.97.52.12",Windows 11 Entreprise,Tanium Client,1
CMRUCT22113.sabc.cm,"fe80::36a:c745:6931:15e7
10.96.2.105",Windows 10 Entreprise,Tanium Client,1
CMRUCT24160.sabc.cm,"fe80::2f5b:3f15:a98e:85e7
10.96.0.49",Windows 10 Entreprise,Tanium Client,1
CMRLPT22027.sabc.cm,"fe80::3463:29df:5060:12fe
10.96.2.30",Windows 10 Professionnel,Tanium Client,1
CMRUCT23073.sabc.cm,"fe80::f094:3630:232b:4c67
10.96.70.150",Windows 10 Entreprise,Tanium Client,1
CMRLPT23117.sabc.cm,"fe80::63a9:d4c5:2126:fe8f
10.100.0.199",Windows 10 Entreprise,Tanium Client,1
CMRUCT20064.sabc.cm,"fe80::e8c0:f0c3:1f62:f993
10.97.224.25",Windows 10 Entreprise,Tanium Client,1
SABCBIOM101.sabc.cm,"::1
10.100.1.225",Windows Server 2016 Standard,Tanium Client,1
CMRLPT19330.sabc.cm,"fe80::1802:18e8:c89e:8d0a
10.102.9.131",Windows 10 Entreprise,Tanium Client,1
CMRLPT22002.sabc.cm,"fe80::85ad:1c84:7bf:260f
10.177.237.21
10.100.0.147
fe80::9060:e6e5:576d:8b29",Windows 10 Entreprise,Tanium Client,1
CMRLPT21129.sabc.cm,"fe80::d3f5:8a40:d245:ea8b
10.102.2.35",Windows 10 Entreprise,Tanium Client,1
CMRLPT19239.sabc.cm,"fe80::bf81:752b:4ae6:6c89
10.102.8.133",Windows 10 Entreprise,Tanium Client,1
CMRLPT23238.sabc.cm,"fe80::2acb:3f39:fbd9:a515
fe80::7b7f:2a92:66c4:87ef
10.100.5.50
10.100.0.159",Windows 10 Entreprise,Tanium Client,1
BALIFICH003.sabc.cm,"fe80::147b:6777:af66:867f
10.100.1.236",Windows Server 2019 Standard,Tanium Client,1
CMRUCT22070.sabc.cm,"fe80::e8a:5a28:2b2e:44ef
10.97.88.16",Windows 10 Entreprise,Tanium Client,1
CMRLPT19163.sabc.cm,"fe80::2347:b856:3770:3e4a
10.102.8.150",Windows 10 Entreprise,Tanium Client,1
CMRUCT20134.sabc.cm,"fe80::36f4:e946:8e92:2ba4
10.100.5.85",Windows 10 Entreprise,Tanium Client,1
CMRUCT21058.sabc.cm,"fe80::2bee:ef6b:d5f:782b
10.102.2.58",Windows 10 Entreprise,Tanium Client,1
cmruct23045.sabc.cm,"fe80::7b11:91c9:419e:8a84
10.96.2.2",Windows 10 Entreprise,Tanium Client,1
CMRLPT20109.sabc.cm,"fe80::516f:eb8e:567f:68f1
10.102.8.123",Windows 10 Entreprise,Tanium Client,1
CMRUCT25010.sabc.cm,"fe80::6769:ba9b:791a:979d
10.96.161.92",Windows 10 Professionnel,Tanium Client,1
CMRUCT21013.sabc.cm,"fe80::2ebe:832b:aa80:3750
10.102.33.225",Windows 10 Entreprise,Tanium Client,1
